Key_poliflw,Alt_map,Type,CBS CODE,CBS NAAM,CBS PROVINCIE CODE,CBS PROVINCIE NAAM
Aa en Hunze,Aa en Hunze,Gemeente,GM1680,Aa en Hunze,PV22,Drenthe
Aalsmeer,Aalsmeer,Gemeente,GM0358,Aalsmeer,PV27,Noord-Holland
Aalten,Aalten,Gemeente,GM0197,Aalten,PV25,Gelderland
Achtkarspelen,Achtkarspelen,Gemeente,GM0059,Achtkarspelen,PV21,Fryslân
Alblasserdam,Alblasserdam,Gemeente,GM0482,Alblasserdam,PV28,Zuid-Holland
Albrandswaard,Albrandswaard,Gemeente,GM0613,Albrandswaard,PV28,Zuid-Holland
Alkmaar,Alkmaar,Gemeente,GM0361,Alkmaar,PV27,Noord-Holland
Almelo,Almelo,Gemeente,GM0141,Almelo,PV23,Overijssel
Almere,Almere,Gemeente,GM0034,Almere,PV24,Flevoland
Alphen aan den Rijn,Alphen aan den Rijn,Gemeente,GM0484,Alphen aan den Rijn,PV28,Zuid-Holland
Alphen-Chaam,Alphen-Chaam,Gemeente,GM1723,Alphen-Chaam,PV30,Noord-Brabant
Altena,Altena,Gemeente,GM1959,Altena,PV30,Noord-Brabant
Ameland,Ameland,Gemeente,GM0060,Ameland,PV21,Fryslân
Amersfoort,Amersfoort,Gemeente,GM0307,Amersfoort,PV26,Utrecht
Amstelveen,Amstelveen,Gemeente,GM0362,Amstelveen,PV27,Noord-Holland
Amsterdam,Amsterdam,Gemeente,GM0363,Amsterdam,PV27,Noord-Holland
Apeldoorn,Apeldoorn,Gemeente,GM0200,Apeldoorn,PV25,Gelderland
Arnhem,Arnhem,Gemeente,GM0202,Arnhem,PV25,Gelderland
Assen,Assen,Gemeente,GM0106,Assen,PV22,Drenthe
Asten,Asten,Gemeente,GM0743,Asten,PV30,Noord-Brabant
Baarle-Nassau,Baarle-Nassau,Gemeente,GM0744,Baarle-Nassau,PV30,Noord-Brabant
Baarn,Baarn,Gemeente,GM0308,Baarn,PV26,Utrecht
Barendrecht,Barendrecht,Gemeente,GM0489,Barendrecht,PV28,Zuid-Holland
Barneveld,Barneveld,Gemeente,GM0203,Barneveld,PV25,Gelderland
